Zeit_UTC;°C_Umgebung;kW_gemessen;kW_gem_Umluftkassetten
2019-12-20 17:20:00;11.8;5.244376;0.944584
2019-12-20 17:30:00;11.6;5.248804;0.951144
2019-12-20 17:40:00;11.5;5.260722;0.960904
2019-12-20 17:50:00;11.5;5.210956;0.97029
2019-12-20 18:00:00;11.8;5.213474;0.946614
2019-12-20 18:10:00;11.7;5.153398;0.95024
2019-12-20 18:20:00;11.2;5.235292;0.950482
2019-12-20 18:30:00;11.5;5.145648;0.990476
2019-12-20 18:40:00;11.7;5.249598;0.971942
2019-12-20 18:50:00;11.7;5.251034;0.92829
2019-12-20 19:00:00;11.4;5.203206;0.929794
2019-12-20 19:10:00;10.5;5.156936;1.316536
2019-12-20 19:20:00;11.1;5.23442;1.211728
2019-12-20 19:30:00;10.8;5.072418;1.432768
2019-12-20 19:40:00;10.6;5.126956;1.057178
2019-12-20 19:50:00;10.4;5.120778;0.96989
2019-12-20 20:00:00;10.8;5.209932;0.996254
2019-12-20 20:10:00;11.0;5.158366;1.031606
2019-12-20 20:20:00;10.8;5.163656;1.00754
2019-12-20 20:30:00;10.6;5.129594;0.980392
2019-12-20 20:40:00;10.6;5.117622;0.999424
2019-12-20 20:50:00;11.1;5.122438;1.016818
2019-12-20 21:00:00;9.7;5.094258;1.022683
2019-12-20 21:10:00;10.2;5.100892;1.080114
2019-12-20 21:20:00;11.3;5.09162;1.188372
2019-12-20 21:30:00;10.7;5.0977;1.16756
2019-12-20 21:40:00;10.7;5.097662;1.200242
2019-12-20 21:50:00;10.8;5.11586;1.304692
2019-12-20 22:00:00;10.7;5.112382;1.29977
2019-12-20 22:10:00;10.3;5.11657;1.044822
2019-12-20 22:20:00;10.3;5.10134;1.721286
2019-12-20 22:30:00;9.9;5.136802;1.560116
2019-12-20 22:40:00;9.5;5.19435;1.43155
2019-12-20 22:50:00;9.2;5.160558;1.377038
2019-12-20 23:00:00;8.9;5.155406;1.33944
2019-12-20 23:10:00;8.7;5.138652;1.372516
2019-12-20 23:20:00;8.8;5.127762;1.269192
2019-12-20 23:30:00;8.5;5.152962;1.04915
2019-12-20 23:40:00;8.7;5.132255;1.0174
2019-12-20 23:50:00;8.5;5.125776;1.021286
2019-12-21 00:00:00;8.3;5.133538;1.060216
2019-12-21 00:10:00;8.5;5.126924;1.146966
2019-12-21 00:20:00;8.4;5.132666;1.346468
2019-12-21 00:30:00;7.9;5.119046;1.36264
2019-12-21 00:40:00;7.2;5.128055;1.389355
2019-12-21 00:50:00;6.8;5.146252;1.394254
2019-12-21 01:00:00;6.5;7.441376;1.39897
2019-12-21 01:10:00;6.3;6.537016;1.011326
2019-12-21 01:20:00;6.3;6.71897;1.646082
2019-12-21 01:30:00;6.2;6.476338;1.588304
2019-12-21 01:40:00;6.2;6.659724;1.575656
2019-12-21 01:50:00;6.2;6.527316;1.444374
2019-12-21 02:00:00;6.1;6.438626;1.297762
2019-12-21 02:10:00;6.0;7.427108;1.250448
2019-12-21 02:20:00;6.0;6.918204;1.266976
2019-12-21 02:30:00;5.9;6.12525;1.238948
2019-12-21 02:40:00;5.7;6.566982;1.3008
2019-12-21 02:50:00;5.7;6.922326;1.28002
2019-12-21 03:00:00;5.6;6.87195;1.268692
2019-12-21 03:10:00;5.5;6.799188;1.316664
2019-12-21 03:20:00;5.5;6.43391;1.310512
2019-12-21 03:30:00;5.4;6.972118;1.285258
2019-12-21 03:40:00;5.4;6.354322;1.325628
2019-12-21 03:50:00;5.2;6.603818;1.32345
2019-12-21 04:00:00;5.0;6.256763;1.245865
2019-12-21 04:10:00;5.0;6.997762;1.322674
2019-12-21 04:20:00;5.2;7.07278;1.109376
2019-12-21 04:30:00;5.3;6.43092;1.593992
2019-12-21 04:40:00;5.1;6.959842;1.271752
2019-12-21 04:50:00;5.2;6.350415;1.265895
2019-12-21 05:00:00;5.3;6.353514;1.295468
2019-12-21 05:10:00;5.2;6.611226;1.294088
2019-12-21 05:20:00;5.1;6.638184;1.294082
2019-12-21 05:30:00;4.9;6.680918;1.298938
2019-12-21 05:40:00;4.8;6.509078;1.294756
2019-12-21 05:50:00;5.0;6.621134;1.294314
2019-12-21 06:00:00;5.0;6.519432;1.281194
2019-12-21 06:10:00;4.9;6.677782;1.289855
2019-12-21 06:20:00;4.5;6.612576;1.294932
2019-12-21 06:30:00;4.4;6.828804;1.290118
2019-12-21 06:40:00;4.4;7.102734;1.378018
2019-12-21 06:50:00;4.3;7.161923;1.364188
2019-12-21 07:00:00;4.3;6.800818;1.342814
2019-12-21 07:10:00;4.5;6.96564;1.335124
2019-12-21 07:20:00;4.6;6.835534;1.15691
2019-12-21 07:30:00;4.5;6.858642;1.86102
2019-12-21 07:40:00;4.3;6.696046;1.489766
2019-12-21 07:50:00;4.4;7.432174;1.488538
2019-12-21 08:00:00;4.6;7.00425;1.401826
2019-12-21 08:10:00;4.6;7.021296;1.39495
2019-12-21 08:20:00;4.5;7.07488;1.405442
2019-12-21 08:30:00;4.5;6.76656;1.3858
2019-12-21 08:40:00;4.5;6.650136;1.412898
2019-12-21 08:50:00;4.5;6.434772;1.35607
2019-12-21 09:00:00;4.6;5.124632;1.314898
2019-12-21 09:10:00;4.6;5.101458;1.23054
2019-12-21 09:20:00;4.7;5.085732;1.300675
2019-12-21 09:30:00;4.7;5.10537;1.277652
2019-12-21 09:40:00;4.7;5.075346;1.280478
2019-12-21 09:50:00;4.7;5.096262;1.269784
2019-12-21 10:00:00;4.7;5.078242;1.258264
2019-12-21 10:10:00;4.7;5.080204;1.26447
2019-12-21 10:20:00;4.7;5.071858;1.037668
2019-12-21 10:30:00;4.8;5.071336;1.68474
2019-12-21 10:40:00;4.9;5.0624;1.615698
